32,64,100,100,2.0,1.125,0.494,0.775,-0.5611,1.8036
32,64,100,100,4.0,3.987,0.356,0.128,-0.9107,0.9409
32,64,100,100,6.0,8.425,0.087,0.000,-0.9896,0.9896
32,64,200,200,2.0,2.112,1.000,1.650,-0.5266,2.4054
32,64,200,200,4.0,8.072,0.944,0.566,-0.8831,0.9496
32,64,200,200,6.0,17.681,0.134,0.072,-0.9924,0.9965
32,128,100,100,2.0,0.934,0.289,0.991,-0.6906,-11.4722
32,128,100,100,4.0,3.912,0.477,1.400,-0.8782,1.3675
32,128,100,100,6.0,9.155,1.569,3.981,-0.8286,1.4663
32,128,200,200,2.0,1.880,0.622,1.661,-0.6692,5.7500
32,128,200,200,4.0,7.761,1.230,3.056,-0.8416,1.3882
32,128,200,200,6.0,17.859,3.197,7.386,-0.8210,1.4000
32,256,100,100,2.0,0.854,0.078,0.348,-0.9085,1.5324
32,256,100,100,4.0,3.776,0.866,0.923,-0.7707,1.0203
32,256,100,100,6.0,8.469,2.418,2.167,-0.7145,0.9602
32,256,200,200,2.0,1.741,0.205,0.610,-0.8820,1.3580
32,256,200,200,4.0,7.696,2.100,2.043,-0.7271,0.9899
32,256,200,200,6.0,17.395,4.091,3.920,-0.7648,0.9873
64,64,100,100,2.0,0.444,0.241,1.166,-0.4577,-0.2814
64,64,100,100,4.0,1.075,0.641,0.894,-0.4041,2.3966
64,64,100,100,6.0,2.484,0.509,0.356,-0.7950,0.9280
64,64,200,200,2.0,1.003,0.512,2.072,-0.4891,-0.4591
64,64,200,200,4.0,2.219,1.150,1.281,-0.4817,1.1400
64,64,200,200,6.0,5.028,0.897,0.891,-0.8216,0.9985
64,64,400,400,2.0,2.172,0.791,4.147,-0.6360,-0.6994
64,64,400,400,4.0,4.591,2.178,2.781,-0.5255,1.3333
64,64,400,400,6.0,9.878,2.275,1.200,-0.7697,0.8761
64,64,800,800,2.0,4.478,1.634,7.906,-0.6350,-0.8295
64,64,800,800,4.0,9.134,4.012,5.497,-0.5607,1.4081
64,64,800,800,6.0,19.581,4.828,5.256,-0.7534,1.0299
64,128,100,100,2.0,0.639,0.184,0.872,-0.7115,-1.9530
64,128,100,100,4.0,1.084,0.245,1.038,-0.7738,17.9000
64,128,100,100,6.0,2.466,0.169,1.092,-0.9316,1.6724
64,128,200,200,2.0,1.261,0.380,1.722,-0.6989,-1.9119
64,128,200,200,4.0,2.080,0.548,1.794,-0.7363,5.3552
64,128,200,200,6.0,4.945,0.631,2.375,-0.8724,1.6784
64,128,400,400,2.0,2.569,0.734,3.419,-0.7141,-2.1581
64,128,400,400,4.0,4.314,1.214,3.311,-0.7186,3.0903
64,128,400,400,6.0,9.716,1.283,4.869,-0.8680,1.7398
64,128,800,800,2.0,5.142,1.311,6.909,-0.7451,-2.1680
64,128,800,800,4.0,8.664,2.283,6.941,-0.7365,3.7026
64,128,800,800,6.0,19.423,2.241,7.919,-0.8846,1.4935
64,256,100,100,2.0,0.341,0.137,0.438,-0.5995,-2.1129
64,256,100,100,4.0,0.988,0.070,0.267,-0.9288,1.2733
64,256,100,100,6.0,2.413,0.283,0.436,-0.8828,1.0774
64,256,200,200,2.0,0.684,0.282,0.850,-0.5879,-2.4292
64,256,200,200,4.0,2.045,0.181,0.500,-0.9114,1.2063
64,256,200,200,6.0,4.770,0.916,1.034,-0.8081,1.0316
64,256,400,400,2.0,1.438,0.485,1.777,-0.6627,-2.8111
64,256,400,400,4.0,4.083,0.340,0.868,-0.9168,1.1643
64,256,400,400,6.0,9.573,1.690,2.034,-0.8235,1.0456
64,256,800,800,2.0,2.894,1.018,3.245,-0.6482,-5.3474
64,256,800,800,4.0,8.246,0.597,1.889,-0.9276,1.2033
64,256,800,800,6.0,18.927,3.786,4.245,-0.8000,1.0313
64,512,100,100,2.0,0.338,0.089,0.356,-0.7361,-13.5319
64,512,100,100,4.0,1.013,0.061,0.191,-0.9395,1.1578
64,512,100,100,6.0,2.336,0.312,0.393,-0.8664,1.0414
64,512,200,200,2.0,0.646,0.174,0.772,-0.7308,-3.7284
64,512,200,200,4.0,2.009,0.180,0.396,-0.9106,1.1342
64,512,200,200,6.0,4.611,0.686,0.797,-0.8512,1.0291
64,512,400,400,2.0,1.284,0.284,1.486,-0.7786,-4.9516
64,512,400,400,4.0,4.052,0.379,0.752,-0.9065,1.1130
64,512,400,400,6.0,8.981,1.455,1.650,-0.8380,1.0266
64,512,800,800,2.0,2.584,0.607,2.909,-0.7652,-6.0683
64,512,800,800,4.0,7.993,0.767,1.685,-0.9040,1.1455
64,512,800,800,6.0,18.221,2.970,3.321,-0.8370,1.0235
128,64,100,100,2.0,0.200,0.112,1.416,-0.4375,-0.0720
128,64,100,100,4.0,0.447,0.284,1.038,-0.3636,-0.2751
128,64,100,100,6.0,0.753,0.488,0.803,-0.3527,-5.3125
128,64,200,200,2.0,0.509,0.203,2.672,-0.6012,-0.1416
128,64,200,200,4.0,0.931,0.522,1.953,-0.4396,-0.4006
128,64,200,200,6.0,1.462,0.944,1.509,-0.3547,-11.0667
128,64,400,400,2.0,1.181,0.353,5.488,-0.7011,-0.1923
128,64,400,400,4.0,1.972,1.000,3.875,-0.4929,-0.5107
128,64,400,400,6.0,2.959,1.891,2.975,-0.3611,-68.4000
128,64,800,800,2.0,2.519,0.575,10.934,-0.7717,-0.2310
128,64,800,800,4.0,4.016,2.112,7.463,-0.4739,-0.5521
128,64,800,800,6.0,6.231,3.578,5.969,-0.4258,10.1071
128,128,100,100,2.0,0.623,0.147,0.906,-0.7644,-1.6851
128,128,100,100,4.0,0.587,0.269,0.886,-0.5426,-1.0681
128,128,100,100,6.0,0.736,0.317,0.817,-0.5690,-5.1538
128,128,200,200,2.0,1.278,0.230,1.802,-0.8203,-2.0030
128,128,200,200,4.0,1.247,0.448,1.655,-0.6404,-1.9579
128,128,200,200,6.0,1.508,0.591,1.647,-0.6083,-6.5955
128,128,400,400,2.0,2.702,0.386,3.531,-0.8571,-2.7910
128,128,400,400,4.0,2.405,0.930,3.075,-0.6134,-2.2005
128,128,400,400,6.0,3.042,1.092,3.345,-0.6410,-6.4330
128,128,800,800,2.0,4.905,0.566,7.173,-0.8847,-1.9125
128,128,800,800,4.0,4.841,1.697,6.516,-0.6495,-1.8769
